"","Target_Audience","Pre_Workshop_Training","Using_Software_Other_In_Org","Used_Jmol_before","Concept_Difficulty_without_3DViewer","Jmol_Usefulness_For_Concepts","Jmol_Difficulty_For_Teaching","D_Visualization_Interesting","Jmol_Useful_Assessing_Students","ST_Introduction_to_Jmol_Application","ST_Create_and_Edit_Molecular_Models","ST_Modify_Display_and_View","ST_Measurements_and_Labeling","ST_Script_Console_and_Script_Commands","ST_Surfaces_and_Orbitals","ST_Crystal_Structure_and_Unit_Cell","A1_Introduction_to_Jmol_Application","A2_Create_and_Edit_Molecular_Models","A3_Modify_Display_and_View","A4_Measurements_and_Labelling","A5_Script_Console_and_Script_Commands","A6_Surfaces_and_Orbitals","A7_Crystal_Structure_and_Unitcell","Jmol_3D_Modelling_Knowledge_Before","Jmol_3D_Modelling_Knowledge_After","Jmol_3D_Model_Create_Edit_Knowledge_Before","Jmol_3D_Model_Create_Edit_Knowledge_After","Jmol_Bond_Measure_Knowledge_Before","Jmol_Bond_Measure_Knowledge_After","Jmol_Orbital_Create_Knowledge_Before","Jmol_Orbital_Create_Knowledge_After","Jmol_CenterAxis_Knowledge_Before","Jmol_CenterAxis_Knowledge_After","Jmol_PointGroups_Knowledge_Before","Jmol_PointGroups_Knowledge_After","Jmol_Script_Cmd_3D_Knowledge_Before","Jmol_Script_Cmd_3D_Knowledge_After","Jmol_Crystal_Knowledge_Before","Jmol_Crystal_Knowledge_After","Quality_instructional_material","Self_learning_experience","Spoken_Tutorial_Forum_experience","Online_discussion_session","Interaction_with_Teaching_Assistant","Quality_Workshop","New_Knowledge","Unhappy_Format","Willing_Participate_Activities","Not_Learn_Much","Will_Recommend"
"11",1,2,1,1,4,5,3,5,3,5,4,4,4,4,4,4,1,1,1,2,3,2,1,1,3,1,3,1,3,1,2,1,2,1,1,1,1,1,4,5,6,5,5,5,5,5,4,5,4,5
"12",5,2,5,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,6,6,6,6,6,6,6,6,5,1,5,1,5
"13",5,2,5,1,4,5,4,5,1,5,5,5,5,4,4,4,2,2,2,2,4,4,4,1,4,1,4,1,4,1,4,1,4,1,5,1,5,1,4,5,5,5,5,5,5,4,5,4,5,5
"14",5,2,3,1,5,5,2,5,5,5,5,5,5,4,5,5,1,1,1,3,4,3,4,1,4,1,4,1,5,1,4,1,3,1,4,1,4,3,5,6,6,6,6,6,6,5,5,1,5,5
"15",5,2,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,6,1,5,1,6,1,4,1,6,1,6,1,4,4,6,6,6,6,6,6,6,5,5,5,5,5
"16",5,2,3,1,4,5,2,5,3,5,4,4,5,5,4,4,1,3,4,4,4,3,2,1,4,2,4,1,5,1,4,1,3,1,4,1,4,1,3,6,6,5,5,5,5,5,5,5,5,1
"17",1,2,3,1,4,5,2,5,5,3,3,3,3,3,3,3,2,2,2,3,3,4,4,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,5,5,5,5,5,5,5,4,5,4,5
"18",5,2,1,1,4,5,4,5,5,5,4,5,5,4,4,4,2,1,1,2,2,2,2,2,4,3,4,2,4,3,4,2,4,3,4,3,4,2,4,5,6,6,5,5,6,5,2,5,5,5
"19",1,2,5,1,4,5,2,5,5,5,5,5,4,4,3,3,1,2,2,1,3,3,5,3,5,2,4,2,5,1,4,1,3,3,4,3,5,3,5,6,4,4,5,2,5,5,3,4,4,5
"20",5,2,3,1,4,5,4,5,3,3,4,3,4,4,4,4,2,3,3,4,4,1,1,1,4,1,3,1,3,1,3,1,4,1,3,1,4,1,3,5,5,6,5,5,6,5,4,4,4,5
"21",5,2,3,1,4,5,4,5,5,5,5,5,3,3,4,4,1,2,2,3,4,5,5,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,3,6,6,6,6,6,6,5,5,4,5,5
"22",5,2,3,1,4,5,4,5,5,5,5,5,5,5,4,4,3,4,5,5,5,5,5,2,5,2,5,2,5,2,6,2,5,3,5,3,5,3,6,6,6,6,6,6,6,5,5,5,5,4
"23",1,2,3,1,4,5,2,5,5,4,4,3,3,4,4,1,1,2,2,3,1,1,1,1,4,1,4,1,3,1,2,1,1,1,1,1,1,1,2,4,5,2,4,5,4,4,1,4,2,4
"24",1,2,3,1,4,5,4,5,5,5,3,3,5,5,5,5,1,3,3,5,5,5,5,1,2,6,6,6,6,6,6,6,6,6,6,5,5,5,5,6,6,4,6,6,6,5,4,4,3,4
"25",5,2,5,1,4,5,3,5,5,5,4,4,4,4,4,5,1,2,2,2,4,3,4,1,5,1,5,1,5,1,4,1,4,1,4,1,5,1,4,6,6,6,6,6,6,4,5,4,5,4
"26",5,2,1,1,4,3,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,1,3,1,4,1,4,1,3,1,3,1,3,1,3,1,3,4,5,5,5,5,5,4,4,4,4,4
"27",5,2,3,1,4,5,4,5,3,5,5,5,5,5,5,3,1,1,1,1,1,1,3,1,5,1,5,1,4,1,5,1,4,3,4,1,6,1,4,6,6,6,6,6,6,5,5,5,5,5
"28",5,2,3,1,4,5,2,5,3,4,5,4,4,4,5,4,2,1,2,2,2,1,2,3,5,4,5,4,6,3,5,3,4,4,6,3,5,3,4,6,6,6,5,6,6,5,5,5,4,5
"29",5,2,3,1,5,5,4,5,3,5,5,5,4,5,4,3,4,4,4,5,5,5,3,1,4,1,4,1,5,1,5,1,3,1,4,1,5,2,3,6,6,6,5,5,5,5,4,5,5,4
"30",5,2,3,1,4,5,4,5,5,5,5,5,4,4,3,3,1,1,1,3,3,4,1,1,4,1,4,1,4,1,4,1,5,1,5,1,4,2,5,6,6,6,6,5,6,5,5,5,4,5
"31",5,2,5,1,2,5,5,5,3,5,5,5,5,4,5,5,1,1,1,1,2,1,1,3,5,3,5,1,5,1,5,1,4,1,5,1,5,1,5,6,6,6,6,6,6,5,5,5,5,5
"32",5,2,3,1,4,5,4,5,5,5,5,5,4,3,4,4,1,1,1,2,3,3,2,1,3,1,3,1,3,1,4,1,3,1,3,1,3,2,4,6,6,5,6,6,6,5,5,5,5,5
"33",5,2,3,1,5,5,4,5,5,5,5,5,5,5,5,4,1,1,1,1,1,1,2,2,4,2,4,2,5,2,5,2,4,1,4,1,4,1,4,6,6,5,6,6,6,5,1,4,5,5
"34",5,2,3,1,4,5,4,5,5,5,5,5,5,4,4,3,1,1,1,1,1,1,2,3,4,3,4,2,4,2,4,2,4,3,4,3,4,1,3,6,6,6,6,6,6,5,1,5,1,5
"35",5,2,3,1,5,5,4,5,5,5,5,5,4,4,4,5,1,1,2,4,5,4,2,1,4,1,4,1,4,1,3,1,3,1,3,1,3,1,3,6,6,6,6,6,6,5,4,4,4,4
"36",5,2,5,1,4,5,3,5,1,3,3,3,4,3,3,3,3,3,3,3,3,2,2,1,2,1,3,1,3,1,4,1,3,1,3,1,3,1,3,5,5,5,6,6,5,4,3,3,4,4
"37",5,2,3,1,3,5,4,5,5,4,4,4,3,3,3,3,1,2,2,2,3,3,3,1,2,1,3,1,3,1,3,1,3,1,3,1,3,1,1,6,6,6,6,6,6,5,5,3,5,5
"38",1,2,3,1,4,5,4,5,5,5,5,5,3,4,3,5,1,1,1,3,1,2,4,1,4,1,4,3,5,3,5,2,5,3,4,1,5,1,3,6,6,6,6,5,6,1,5,5,5,5
"39",5,2,3,1,4,5,3,5,3,5,5,4,4,1,1,1,1,1,2,2,1,1,1,1,3,1,3,1,3,1,3,1,3,1,3,1,3,2,3,6,6,6,6,6,6,5,4,4,4,4
"40",5,2,1,1,4,5,4,5,3,5,5,5,4,3,5,5,1,1,1,2,3,1,1,1,4,1,4,1,4,1,4,1,4,1,4,1,3,1,3,6,6,6,6,6,6,5,4,3,4,4
"41",5,2,3,1,5,5,4,5,3,5,5,5,4,5,5,4,1,1,1,2,1,1,2,1,6,1,6,1,5,1,6,1,5,1,5,1,6,1,6,6,6,6,6,6,6,5,5,5,5,5
"42",5,2,3,1,4,5,4,5,5,4,4,3,4,5,4,4,4,3,3,4,5,4,4,1,3,1,2,1,2,1,3,1,2,1,3,1,3,1,3,5,5,5,4,4,5,5,5,4,3,4
"43",5,2,3,1,5,5,5,5,5,5,5,5,5,3,3,4,1,1,1,1,1,1,1,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,6,6,6,6,6,6,5,5,5,5,5
"44",5,2,3,1,4,5,5,5,5,5,4,5,4,3,5,4,1,2,2,1,2,2,2,2,4,2,4,3,4,3,5,3,4,4,5,3,4,3,5,6,6,6,6,6,6,5,5,5,5,5
"45",5,2,3,1,4,5,4,5,5,5,4,5,3,4,5,5,1,1,1,2,3,1,1,1,6,1,5,1,3,1,2,1,2,1,3,1,3,1,5,5,5,6,5,6,6,5,1,4,4,4
"46",5,2,3,1,5,5,3,5,3,3,4,3,4,4,3,4,3,3,3,3,3,3,3,1,3,2,4,1,4,1,3,1,1,1,1,1,3,1,3,5,5,5,4,5,5,4,3,4,4,4
"47",5,2,3,1,5,5,3,5,5,4,4,5,4,5,5,4,1,1,1,2,1,2,2,1,4,1,5,1,4,1,4,1,4,1,4,1,5,2,4,6,5,6,6,6,6,5,1,4,5,5
"48",5,2,3,1,4,5,5,5,5,5,5,4,4,5,4,5,1,1,2,2,2,2,1,2,4,2,4,2,4,2,4,2,4,1,4,1,4,4,5,6,6,6,6,6,6,5,5,5,5,5
"49",5,2,1,1,4,5,4,5,5,5,5,5,5,5,4,4,1,1,1,1,1,3,4,1,2,1,2,1,3,1,2,1,2,1,3,1,3,2,4,6,6,6,6,6,6,5,5,5,5,5
"50",5,2,3,1,4,5,4,5,3,5,5,4,4,3,3,5,1,1,2,2,3,3,1,1,4,1,3,2,4,1,4,1,1,1,1,1,3,1,3,5,6,5,5,4,5,5,4,4,4,5
"51",5,2,3,1,4,5,4,5,3,1,5,4,4,1,4,4,1,2,2,4,1,3,4,1,4,1,4,1,4,1,3,1,3,1,3,1,3,1,4,6,6,5,5,5,6,5,5,5,5,5
"52",5,2,3,1,4,5,3,5,3,4,4,4,4,4,1,1,1,1,3,4,5,1,1,1,3,1,3,1,4,1,3,1,3,1,3,1,3,1,4,6,5,6,5,5,6,5,5,4,4,5
"53",5,2,3,1,4,5,4,5,5,5,5,5,4,4,5,5,5,5,5,4,5,5,4,2,5,2,5,2,5,2,5,2,4,3,5,1,4,3,5,6,6,6,6,6,6,5,5,5,5,5
"54",5,2,3,1,5,5,2,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,1,1
"55",1,2,5,1,4,5,4,5,5,5,5,5,4,4,3,3,1,1,2,2,3,4,4,1,4,1,3,1,4,1,4,1,4,1,4,1,4,1,3,6,6,5,5,6,5,4,5,4,5,5
"56",5,2,3,1,4,5,3,5,3,5,5,5,5,5,5,5,2,2,2,3,2,3,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,6,6,6,6,6,6,5,5,5,5,5
"57",1,2,5,1,4,5,4,5,3,5,4,5,5,5,5,5,4,5,5,5,5,5,5,1,4,1,5,1,4,1,5,1,4,1,4,1,4,2,5,5,6,6,6,6,6,5,1,5,1,5
"58",5,2,5,1,5,5,4,5,3,5,5,5,5,4,4,4,2,2,2,3,3,3,3,1,4,4,5,4,5,1,4,1,4,1,4,3,4,3,5,6,6,6,6,6,6,4,2,4,2,4
"59",5,2,3,1,4,5,4,5,3,5,4,4,3,3,3,3,5,1,1,3,3,3,3,2,4,1,4,1,3,1,4,1,3,1,3,1,3,1,3,5,6,3,5,5,5,5,5,4,4,4
"60",1,2,3,1,2,5,3,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,4,4,4,3,4,3,4,3,4,3,4,3,4,4,4,4,4,4,4,4,2,4,4,4
"61",1,2,3,5,5,3,4,3,1,4,4,4,4,4,4,4,1,1,1,1,1,1,1,2,2,3,3,1,1,3,3,3,3,1,1,3,3,5,5,5,5,5,2,2,3,4,3,3,4,5
"62",1,2,3,1,4,5,4,5,5,5,5,5,5,4,3,3,1,1,1,1,2,3,4,1,3,1,3,2,3,2,3,1,3,1,4,1,3,1,3,5,6,6,5,5,5,5,4,4,4,4
